id,Machine failure
136429,0.0013966438
136430,0.003425758
136431,0.0007877226
136432,0.0015193955
136433,0.0011254359
136434,0.0011099492
136435,0.0064491443
136436,0.004492895
136437,0.0011315197
136438,0.0010981504
136439,0.0009641337
136440,0.0010849905
136441,0.0014440411
136442,0.0007798597
136443,0.0017501202
136444,0.00268975
136445,0.0009977478
136446,0.9728442
136447,0.00083565863
136448,0.00082993
136449,0.0059067444
136450,0.0010345929
136451,0.0030279774
136452,0.039868362
136453,0.0010876672
136454,0.00079898495
136455,0.0008741848
136456,0.0010869923
136457,0.001413968
136458,0.0026798958
136459,0.0060738884
136460,0.012172217
136461,0.0009015194
136462,0.04662723
136463,0.022349933
136464,0.00165829
136465,0.0012915843
136466,0.002191593
136467,0.0026123605
136468,0.0008482977
136469,0.00092837116
136470,0.001173112
136471,0.0069305734
136472,0.0040944796
136473,0.002351382
136474,0.0008606566
136475,0.0014582701
136476,0.028883511
136477,0.001618206
136478,0.0014126161
136479,0.0016484758
136480,0.024962772
136481,0.0017180895
136482,0.1428947
136483,0.0014310443
136484,0.0012530802
136485,0.0006759691
136486,0.0011185884
136487,0.0009073201
136488,0.006776648
136489,0.0010026294
136490,0.08489826
136491,0.006561725
136492,0.0008339511
136493,0.008762
136494,0.0007951728
136495,0.00292669
136496,0.0009224891
136497,0.0011260257
136498,0.011720152
136499,0.00083705405
136500,0.0017499418
136501,0.0010543786
136502,0.0010822327
136503,0.0023615551
136504,0.0015385777
136505,0.0024559714
136506,0.002677404
136507,0.0012027691
136508,0.0017963748
136509,0.002761592
136510,0.00074070925
136511,0.0045513865
136512,0.000741802
136513,0.0036546548
136514,0.00083144376
136515,0.0010108313
136516,0.0010787854
136517,0.002114877
136518,0.0007877763
136519,0.0015833504
136520,0.0027870212
136521,0.0017656124
136522,0.0027610168
136523,0.0008474676
136524,0.00075683556
136525,0.0013572915
136526,0.002691041
136527,0.0029407595
136528,0.0018986632
136529,0.002600207
136530,0.005214951
136531,0.0020629487
136532,0.00086905516
136533,0.008576974
136534,0.0010914017
136535,0.00078964507
136536,0.0012751331
136537,0.0010561198
136538,0.0027498428
136539,0.0029959409
136540,0.00082284916
136541,0.00088852725
136542,0.0014673985
136543,0.0017517061
136544,0.00090581755
136545,0.0009838241
136546,0.0012679296
136547,0.0020693769
136548,0.0008186826
136549,0.0019639193
136550,0.0019484867
136551,0.0008605734
136552,0.0012779228
136553,0.0031919004
136554,0.00085532176
136555,0.014523208
136556,0.001102431
136557,0.0013829013
136558,0.00275105
136559,0.0011259307
136560,0.0048757205
136561,0.0020729366
136562,0.0024468529
136563,0.00075944513
136564,0.0008476372
136565,0.006052689
136566,0.0015580768
136567,0.0018181821
136568,0.00083967426
136569,0.001172211
136570,0.0015148045
136571,0.009278733
136572,0.0026306065
136573,0.0016201779
136574,0.002034391
136575,0.0021074032
136576,0.0012569969
136577,0.002022288
136578,0.0013725699
136579,0.024403239
136580,0.0007434049
136581,0.00569773
136582,0.00088417024
136583,0.0009016387
136584,0.0006471225
136585,0.009131659
136586,0.21374159
136587,0.00075253233
136588,0.0019297668
136589,0.002060952
136590,0.0010821656
136591,0.0049700937
136592,0.01174589
136593,0.007834114
136594,0.0008069613
136595,0.00093363837
136596,0.0010729142
136597,0.0010194631
136598,0.000915274
136599,0.0010948938
136600,0.00096172316
136601,0.0039577316
136602,0.0040105046
136603,0.009073149
136604,0.0007382752
136605,0.008434585
136606,0.0012065518
136607,0.008355881
136608,0.0111568365
136609,0.00077743677
136610,0.002265792
136611,0.0010213864
136612,0.0011794992
136613,0.00085597445
136614,0.0009659087
136615,0.0015365157
136616,0.00085063215
136617,0.0022563387
136618,0.0020099203
